rank,equipo,prob_campeon,prob_octavos,ic95_low,ic95_high,campeonatos,n_octavos
1,Spain,0.1666,0.9819,0.1594,0.174,1666,9819
2,Argentina,0.1046,0.9514,0.0988,0.1108,1046,9514
3,France,0.1008,0.9905,0.0951,0.1069,1008,9905
4,Portugal,0.0856,0.9841,0.0803,0.0912,856,9841
5,Netherlands,0.0553,0.977,0.051,0.06,553,9770
6,Japan,0.0528,0.9863,0.0486,0.0574,528,9863
7,England,0.0521,0.9402,0.0479,0.0566,521,9402
8,Brazil,0.0441,0.9134,0.0402,0.0483,441,9134
9,Croatia,0.0339,0.9158,0.0305,0.0376,339,9158
10,Senegal,0.0307,0.8734,0.0275,0.0343,307,8734
11,Belgium,0.0294,0.9201,0.0263,0.0329,294,9201
12,Colombia,0.0256,0.9204,0.0227,0.0289,256,9204
13,Uruguay,0.0246,0.82,0.0217,0.0278,246,8200
14,Morocco,0.02,0.8574,0.0174,0.0229,200,8574
15,Australia,0.0189,0.9755,0.0164,0.0218,189,9755
16,Germany,0.0187,0.9773,0.0162,0.0215,187,9773
17,Iran,0.0186,0.8071,0.0161,0.0214,186,8071
18,Switzerland,0.0175,0.9735,0.0151,0.0203,175,9735
19,South Korea,0.0159,0.9805,0.0136,0.0185,159,9805
20,Norway,0.0125,0.8476,0.0105,0.0149,125,8476
21,Mexico,0.0096,0.9674,0.0079,0.0117,96,9674
22,Algeria,0.008,0.6967,0.0064,0.0099,80,6967
23,Ecuador,0.0074,0.83,0.0059,0.0093,74,8300
24,Canada,0.0067,0.9389,0.0053,0.0085,67,9389
25,Panama,0.0062,0.681,0.0048,0.0079,62,6810
26,Austria,0.0054,0.6479,0.0041,0.007,54,6479
27,Paraguay,0.0048,0.8279,0.0036,0.0064,48,8279
28,United States,0.0045,0.8546,0.0034,0.006,45,8546
29,Uzbekistan,0.0041,0.7615,0.003,0.0056,41,7615
30,Scotland,0.004,0.5406,0.0029,0.0054,40,5406
31,Egypt,0.0037,0.6156,0.0027,0.0051,37,6156
32,Tunisia,0.0032,0.7464,0.0023,0.0045,32,7464
33,Qatar,0.0016,0.7782,0.001,0.0026,16,7782
34,Jordan,0.0014,0.3226,0.0008,0.0023,14,3226
35,South Africa,0.0004,0.6558,0.0002,0.001,4,6558
36,New Zealand,0.0004,0.3371,0.0002,0.001,4,3371
37,Cape_Verde,0.0002,0.31,0.0001,0.0007,2,3100
38,Saudi Arabia,0.0001,0.3327,0.0,0.0006,1,3327
39,Haiti,0.0001,0.3373,0.0,0.0006,1,3373
40,UEFA_Playoff_D,0.0,0.0759,0.0,0.0004,0,759
41,UEFA_Playoff_C,0.0,0.0665,0.0,0.0004,0,665
42,UEFA_Playoff_A,0.0,0.071,0.0,0.0004,0,710
43,UEFA_Playoff_B,0.0,0.0268,0.0,0.0004,0,268
44,Côte d’Ivoire,0.0,0.1889,0.0,0.0004,0,1889
45,Curaçao,0.0,0.6192,0.0,0.0004,0,6192
46,Interconf_Playoff_2,0.0,0.0314,0.0,0.0004,0,314
47,Interconf_Playoff_1,0.0,0.0373,0.0,0.0004,0,373
48,Ghana,0.0,0.1074,0.0,0.0004,0,1074
